number,movies,cast,directors
218,Hope,Margaret Sullavan,Greta Gerwig
219,Gett: The Trial of Viviane Amsalem,Sara Haden,Steven Spielberg
220,I Called Him Morgan,Sarah Edwards,John Huston
221,Close Encounters of the Third Kind,William Tracy,Sylvain Chomet
222,The Godfather: Part II,Henry Fonda,Stephen Frears
223,The Hustler,Lee J. Cobb,Lewis Milestone
224,L.A. Confidential,Casey Affleck,Patrick Wang
225,Bloody Sunday,Kyle Chandler,Eliza Hittman
226,My Voyage to Italy,Lucas Hedges,Alexander Mackendrick
227,Phantom Thread,Michelle Williams,John Ford
228,Goodfellas,John Cassavetes,Sarah Polley
229,Wojnarowicz,Mia Farrow,Patrick Wang
230,Hamilton,Barton MacLane,Anonymous
231,Paths of the Soul,Elisha Cook Jr.,Christine Cynn
232,It's Such a Beautiful Day,Gladys George,Joshua Oppenheimer
233,My Perestroika,Humphrey Bogart,Lemohang Jeremiah Mosese
234,This Is Not a Film,Jerome Cowan,Elia Kazan
235,The Birds,Lee Patrick,Jafar Panahi
236,To Have and Have Not,Mary Astor,Pawel Pawlikowski
237,Finding Nemo,Peter Lorre,Claire Denis
238,Topsy-Turvy,Sydney Greenstreet,Ben Safdie
239,Samurai Rebellion,Ward Bond,Joshua Safdie
240,King Kong,Alfre Woodard,Ari Folman
241,Gunda,Benedict Cumberbatch,Peter Jackson
242,The Incredibles,Brad Pitt,Frederick Wiseman
243,Before Sunset,Chiwetel Ejiofor,Mike Leigh
244,Being John Malkovich,Garret Dillahunt,Franklin J. Schaffner
245,A Prophet,Michael Fassbender,Giorgos Lanthimos
246,Hard to Be a God,Michael K. Williams,Atom Egoyan
247,Almost Famous,Paul Dano,Philip Kaufman
248,Paths of Glory,Paul Giamatti,Bill Roberts
249,Cold War,Sarah Paulson,David Hand
250,Big Men,Angela Burnett,Graham Heid
251,American Splendor,Charles Bracy,James Algar
252,Hannah and Her Sisters,Delores Farley,Norman Wright
253,The Circus,Dorothy Stengel,Paul Satterfield
254,The Tale,Eugene Cherry,Samuel Armstrong
255,Gosford Park,Henry G. Sanders,Jonas Poher Rasmussen
256,Dirty Harry,Jack Drummond,Howard Hawks
257,The Fits,Kaycee Moore,Ethan Coen
258,Small Axe: Mangrove,Slim,Joel Coen
259,Mad Max: Fury Road,Tobar Mayo,Dror Moreh
260,United 93,Barbara Baxley,Patricio Guzmán
261,Capturing the Friedmans,David Arkin,George Cukor
262,The Truman Show,Geraldine Chaplin,Steven Spielberg
263,American Hustle,Karen Black,Martin Scorsese
264,Paterson,Keith Carradine,Spike Jonze
265,Star Wars: Episode IV - A New Hope,Ned Beatty,Neil Jordan
266,Persepolis,Robert DoQui,David Lean
267,The Age of Innocence,Ronee Blakley,Chang-dong Lee
268,Minding the Gap,Shelley Duvall,Debra Granik
269,The Best of Youth,Timothy Brown,Maria Sødahl
270,The Overnighters,Brad Garrett,Ronit Elkabetz
271,The Lives of Others,Lou Romano,Shlomi Elkabetz
272,Two-Lane Blacktop,Patton Oswalt,Kasper Collin
273,House of Flying Daggers,Andreas Fronk,Steven Spielberg
274,63 Up,Hyae Jin Chang,Francis Ford Coppola
275,Treasure Island,Hye-jin Jang,Robert Rossen
276,Lost in Translation,Hyun Seung-min,Curtis Hanson
277,Blue Is the Warmest Color,JaeWook Park,Paul Greengrass
278,Searching for Bobby Fischer,Jeong Esuz,Martin Scorsese
279,Assault on Precinct 13,Jeong-eun Lee,Paul Thomas Anderson
280,Man on Wire,Ji-rye Lee,Martin Scorsese
281,For Sama,Jung Hyeon-jun,Chris McKim
282,Force of Evil,Jung Ik-Han,Thomas Kail
283,Still Walking,Kang Echae,Yang Zhang
284,Gangs of Wasseypur,Kang-ho Song,Don Hertzfeldt
285,The Last Detail,Lee Joo-Hyung,Robin Hessman
286,When the Levees Broke: A Requiem in Four Acts,Myeong-hoon Park,Jafar Panahi
287,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Pak Hyo-Shin,Mojtaba Mirtahmasb
288,Minari,Seo Joon Park,Alfred Hitchcock
289,Barry Lyndon,Seon-gyun Lee,Howard Hawks
290,The Farewell,So-dam Park,Andrew Stanton
291,Elle,Woo-sik Choi,Lee Unkrich
292,The Tale of The Princess Kaguya,Yeo-Jeong Cho,Mike Leigh
293,Uncertain,Yeo-jeong Jo,Masaki Kobayashi
294,Captain Blood,Ann Rye,Ernest B. Schoedsack
295,"Two Days, One Night",Clelia Matania,Merian C. Cooper
296,National Gallery,David Tree,Victor Kossakovsky
297,Eighth Grade,Donald Sutherland,Brad Bird
298,A Star Is Born,Giorgio Trestini,Richard Linklater
299,No End in Sight,Hilary Mason,Spike Jonze
300,It's a Wonderful Life,Julie Christie,Jacques Audiard
301,The Madness of King George,Leopoldo Trieste,Aleksei German
302,Phoenix,Massimo Serato,Cameron Crowe
303,Goodbye Solo,Renato Scarpa,Stanley Kubrick
304,Western,Charley Grapewin,Pawel Pawlikowski
305,Stop Making Sense,Dorris Bowdon,Rachel Boynton
306,Deep Red,Eddie Quillan,Robert Pulcini
307,Downhill Racer,Henry Fonda,Shari Springer Berman
308,Alien,Jane Darwell,Woody Allen
309,Columbus,John Carradine,Charles Chaplin
310,First Cow,John Qualen,Jennifer Fox
311,Night of the Living Dead,O.Z. Whitehead,Robert Altman
312,The Artist,Russell Simpson,Don Siegel
313,Yankee Doodle Dandy,Zeffie Tilbury,Anna Rose Holmer
314,Raging Bull,Arletty,Steve McQueen
315,Eternal Sunshine of the Spotless Mind,Jean-Louis Barrault,George Miller
316,The Piano,Barbara Stanwyck,Paul Greengrass
317,Of Mice and Men,Charles Coburn,Andrew Jarecki
318,Dead Souls,Eric Blore,Peter Weir
319,Zama,Eugene Pallette,David O. Russell
320,Dick Johnson Is Dead,Henry Fonda,Jim Jarmusch
321,High Noon,Janet Beecher,George Lucas
322,Rebel Without a Cause,Martha O'Driscoll,Marjane Satrapi
323,Letters from Iwo Jima,Melville Cooper,Vincent Paronnaud
324,The Seventh Continent (1989),Robert Greig,Martin Scorsese
325,A Woman Under the Influence,William Demarest,Bing Liu
326,Whiplash,George Clooney,Marco Tullio Giordana
327,Once,Sandra Bullock,Jesse Moss
328,Foreign Correspondent,Miyu Irino,Florian Henckel von Donnersmarck
329,The Arbor,Paige O'Hara,Monte Hellman
330,Long Day's Journey Into Night,Robby Benson,Yimou Zhang
331,Richard III,Amarah-Jae St. Aubyn,Michael Apted
332,Democrats,Daniel Francis-Swaby,Byron Haskin
333,The Lion King,Ellis George,Sofia Coppola
334,4 Little Girls,Francis Lovehall,Abdel Kechiche
335,Wild Strawberries,Joshua Viner,Steven Zaillian
336,Ghost World,Kadeem Ramsay,John Carpenter
337,Crime + Punishment,Kedar Williams-Stirling,James Marsh
338,The Seventh Seal,Marcus Fraser,Edward Watts
339,Y Tu Mamá También,Micheal Ward,Waad Al-Khateab
340,Paddington 2,Shaniqua Okwok,Abraham Polonsky
341,The Little Mermaid,Tim Allen,Hirokazu Koreeda
342,City Hall,Tom Hanks,Anurag Kashyap
343,Capote,Boris Karloff,Hal Ashby
344,The Death of Stalin,Colin Clive,Spike Lee
345,Miracle on 34th Street,Douglas Walton,Larry Charles
346,Strangers on a Train,E.E. Clive,Lee Isaac Chung
347,Tulpan,Elsa Lanchester,Stanley Kubrick
348,Manuscripts Don't Burn,Ernest Thesiger,Lulu Wang
349,In Transit,Gavin Gordon,Paul Verhoeven
350,"Three Billboards Outside Ebbing, Missouri",Lucien Prival,Isao Takahata
351,Quest,Una O'Connor,Anna Sandilands
352,Au Revoir les Enfants,Valerie Hobson,Ewan McNicol
353,A Film Unfinished,Andrew Garfield,Michael Curtiz
354,Things to Come,Jesse Eisenberg,Jean-Pierre Dardenne
355,The Grand Budapest Hotel,Justin Timberlake,Luc Dardenne
356,Winter Sleep,Audrey Hepburn,Frederick Wiseman
357,A Star Is Born,Gladys Cooper,Bo Burnham
358,Citizenfour,Isobel Elsom,George Cukor
359,Time Out,Jeremy Brett,Charles Ferguson
360,The Blue Angel (re-release),John Holland,Frank Capra
361,Thelma & Louise,Mona Washbourne,Nicholas Hytner
362,Away from Her,Rex Harrison,Christian Petzold
363,The Human Voice,Stanley Holloway,Ramin Bahrani
364,The Fallen Idol (re-release),Theodore Bikel,Bill Ross IV
365,Fat City,Wilfrid Hyde-White,Turner Ross
366,Foxtrot,Arlo Guthrie,Jonathan Demme
367,Howards End,Country Joe and the Fish,Dario Argento
368,The Innocents,Crosby Stills & Nash,Michael Ritchie
369,Inside Job,Joan Baez,Ridley Scott
370,The Father,Joe Cocker,Kogonada
